block,total,white-alone,black-alone,native-am-alone,asian-alone,other
3001,1618,1565,12,4,4,7
3001,1456,1421,0,1,6,4
3011,1886,1802,16,6,26,11
3011,1210,1143,12,0,19,9
3011,928,900,8,2,4,0
3011,1281,1239,6,6,17,1
3011,2091,2043,7,1,6,11
3011,1530,1497,7,3,3,3
3101,1448,995,145,4,90,135
3101,1972,1549,136,8,66,143
3101,1847,982,285,9,143,330
3102,1115,936,50,0,54,53
3102,911,718,53,0,67,44
3102,1562,863,222,6,130,243
3102,1111,801,93,0,86,82
3102,1277,920,106,0,118,91
3103,1465,1004,177,3,101,113
3103,1618,924,203,6,163,248
3103,1196,781,94,2,124,125
3103,852,587,79,3,71,74
3103,885,687,61,7,45,59
3104,1184,609,123,6,156,221
3104,1125,764,91,2,128,93
3104,936,504,72,0,145,153
3105,937,681,94,4,94,34
3105,1377,890,86,6,254,91
3105,1135,852,53,0,137,76
3106,2211,1491,93,3,428,97
3106,2751,2137,138,7,353,61
3106,784,598,39,0,88,37
3106,1693,1070,106,4,330,115
3106,1799,1495,77,1,109,69
3106,604,455,46,2,62,24
3106,1729,1336,132,0,193,43
3107,1536,775,82,2,392,219
3107,1142,691,57,4,244,93
3107,1763,801,119,10,535,249
3111,1002,324,64,21,364,174
3111,1408,541,126,15,461,211
3112,1561,350,104,4,875,175
3112,1706,485,103,1,947,99
3113,1221,439,83,2,544,111
3113,1649,714,139,2,599,141
3113,1187,642,44,0,408,69
3114,1158,743,59,3,275,38
3114,639,476,24,0,100,25
3114,2301,986,314,18,667,224
3114,1888,818,290,2,502,187
3115,837,403,29,0,316,48
3115,1243,584,82,2,483,54
3115,894,580,56,1,180,53
3116,1410,1050,17,1,277,38
3116,1305,721,37,1,480,38
3116,754,654,9,0,77,8
3116,967,355,103,6,252,216
3116,859,492,39,0,289,22
3117,864,481,41,0,293,26
3117,1095,484,50,0,454,56
3117,1260,418,80,1,556,127
3117,1879,498,78,3,1086,134
3118,1728,503,95,10,913,149
3118,1785,517,62,9,941,162
3119,1445,851,98,3,173,248
3119,984,615,80,9,142,107
3120,1479,882,128,11,233,139
3120,1459,857,99,10,225,194
3121,1107,634,76,1,167,184
3121,1085,539,62,4,284,158
3121,957,504,103,0,207,86
3122,1697,1025,136,0,332,144
3122,795,430,43,2,216,91
3122,965,565,79,0,218,62
3122,852,613,41,0,158,22
3123,1369,1000,94,5,150,85
3123,1238,960,43,1,125,60
3123,2324,1874,113,2,162,122
3124,632,403,84,4,29,80
3124,1722,993,116,7,154,376
3125,1904,1681,44,1,86,50
3125,610,555,6,0,36,10
3125,1950,1430,140,9,176,136
3125,1994,1688,69,4,90,117
3125,730,696,11,0,11,7
3125,1236,1112,20,2,70,13
3131,1654,1479,18,3,107,20
3131,2825,2554,17,6,190,10
3131,1009,971,0,0,21,7
3131,842,798,9,0,16,10
3131,874,761,23,1,50,20
3131,2548,2366,37,3,94,4
3131,1540,1461,16,1,57,3
3141,1500,1378,20,3,61,13
3141,1859,1764,23,0,49,12
3141,2696,2249,200,9,138,50
3141,1654,1527,31,3,63,12
3141,1417,1287,36,0,62,8
3141,1376,1150,69,1,82,25
3141,1603,1343,40,4,122,43
3141,1173,1077,22,0,38,15
3142,1650,1478,44,5,59,24
3142,1452,1331,24,0,39,34
3142,2131,2016,18,2,61,13
3143,1596,1445,19,1,112,5
3143,590,545,11,3,3,19
3143,2302,2191,30,1,41,9
3143,1514,1309,35,0,111,20
3143,2009,1721,84,1,79,88
3143,1164,1095,14,4,37,6
3143,1771,1704,17,3,29,4
3151,2686,2532,18,0,89,15
3151,2770,2577,36,1,89,17
3152,1668,1411,43,0,171,18
3152,2248,2140,22,2,63,6
3152,1534,1470,7,2,20,16
3152,2135,2039,27,1,44,3
3154,2007,1925,13,0,42,2
3154,1525,1350,74,6,71,9
3154,930,876,9,1,28,2
3154,1991,1908,19,7,34,7
3154,744,720,9,0,7,0
3154,1001,964,13,1,9,2
3155,1393,1334,4,0,22,3
3155,1307,1242,4,0,26,18
3155,758,707,10,1,16,17
3155,1087,1058,1,0,11,3
3155,1516,1479,1,7,9,9
3155,1661,1595,11,3,35,4
3161,1738,1681,8,1,34,0
3161,1377,1304,20,1,33,12
3161,1993,1916,8,5,27,7
3161,1566,1523,7,0,20,9
3161,2455,2301,51,1,63,10
3161,897,840,1,1,47,4
3161,1142,1066,10,3,35,6
3162,1152,1067,7,1,56,7
3162,2027,1866,8,2,121,16
3162,925,881,14,5,15,2
3162,1526,1279,29,7,151,10
3162,1729,1514,24,0,158,8
3162,1035,916,22,1,75,15
3163,2746,2028,96,2,502,51
3163,780,737,5,0,18,9
3163,889,785,31,1,37,1
3163,1125,1029,22,2,42,0
3163,1909,1656,75,3,132,14
3163,723,662,10,0,31,11
3164,929,857,15,0,47,2
3164,1008,941,17,1,35,10
3164,896,806,21,4,41,8
3164,1775,1637,22,0,96,1
3164,1164,1028,10,0,85,12
3164,798,561,216,9,5,7
3165,1557,1417,30,0,58,28
